pair_id,label,weight,band_lo,band_hi,cross_outlet,emb_hl_body600,emb_hl_body200,emb_hl_only,tfidf_char35_hl_body1200,tfidf_char35_hl_only,tfidf_syl12_hl_body1200,jaccard_syl8_body3000,jaccard_syl5_body3000
0a24c1e2_450c9d27,1,21.96,0.98,1.01,1,0.9923193454742432,0.9611091613769531,0.9042686223983765,0.8757157396493435,0.5843328504878941,0.8722776991134972,0.6678023850085179,0.7397504456327986
e127783e_2c52b4f8,0,1411.0833333333333,0.8,0.85,1,0.8211737871170044,0.7652603387832642,0.8132443428039551,0.46106194248844207,0.4316668319201503,0.39750882416837213,0.1534090909090909,0.20496894409937888
03a9cb86_7a6f696f,0,5641.375,0.7,0.75,1,0.718927264213562,0.6129052639007568,0.491145521402359,0.42566103863759247,0.12309363254276684,0.19415813034250987,0.0,0.00375234521575985
81c4e5cd_c6952de5,0,1411.0833333333333,0.8,0.85,0,0.831678569316864,0.7936139106750488,0.8645616769790649,0.49141095464648615,0.5198485174566906,0.35200241061121773,0.047186932849364795,0.0789980732177264
f7b24acf_58997730,1,21.96,0.98,1.01,1,0.9888052940368652,0.9961673617362976,0.9999998211860657,0.8592326424543066,1.0000000000000004,0.8329116872749295,0.2538265306122449,0.3035971223021583
646c2704_ecc48870,1,20.76,0.96,0.98,1,0.9688538312911987,0.9683500528335571,0.9948521852493286,0.9772641935273644,0.916048311086362,0.9619215856124683,0.8569343065693431,0.88
7d3f2899_5aba0399,1,52.56666666666667,0.92,0.94,1,0.92781662940979,0.9531275033950806,0.9077292084693909,0.43524037943900895,0.808082058633117,0.433534951251372,0.003121748178980229,0.020477815699658702
e226c0dd_af6c62c9,1,131.32,0.88,0.9,1,0.8989198803901672,0.8154110908508301,0.5455735325813293,0.7418239688168767,0.41780339994104104,0.6985988818004578,0.10611510791366907,0.17857142857142858
27426522_a9627135,1,31.933333333333334,0.94,0.96,1,0.9511600732803345,0.9688357710838318,1.0,0.9731832771135148,1.0000000000000004,0.9787694349665371,0.875,0.8990990990990991
d014925f_197cfb1c,1,330.5,0.85,0.88,1,0.8505462408065796,0.8485649824142456,0.6131875514984131,0.8239152076647575,0.4233409937538196,0.7885006633845151,0.3319103521878335,0.406720741599073
e0a114d3_fee1679a,1,21.96,0.98,1.01,1,0.9980107545852661,0.9999999403953552,1.0,0.8563756498626882,1.0,0.8219833455978909,0.7793923381770145,0.7939560439560439
a897d2c6_819d1076,1,330.5,0.85,0.88,1,0.8767992258071899,0.8944053053855896,0.9129962921142578,0.6542487759670582,0.7225534411684553,0.41432443666607727,0.009578544061302681,0.038883349950149554
44213e1c_8815721d,0,20.76,0.96,0.98,0,0.9726496934890747,0.9830687642097473,0.7722854018211365,0.8966722116245309,0.47518670191151063,0.799715391659687,0.36257309941520466,0.43884892086330934
e4d1dc6a_f7e0f2bd,1,52.56666666666667,0.92,0.94,1,0.9202300310134888,0.7834748029708862,0.6200418472290039,0.4848909836835888,0.2141552924989826,0.34081253132721645,0.0,0.0027624309392265192
6f95ed9c_30b284ed,1,131.32,0.88,0.9,1,0.8915462493896484,0.7808278799057007,0.6248385310173035,0.5696803061079626,0.33776871140502973,0.3994563214323366,0.009584664536741214,0.01948051948051948
cb24e541_e4afc5f4,1,92.8,0.9,0.92,1,0.9125243425369263,0.9394440650939941,0.8348103165626526,0.5961966825776607,0.8979385488230923,0.4482434285590578,0.14829659318637275,0.21627408993576017
7cb4e021_a4a9e4be,1,52.56666666666667,0.92,0.94,1,0.9242042303085327,0.9071312546730042,0.7438841462135315,0.640490852737663,0.25024042643338706,0.49444731672962466,0.0018709073900841909,0.005319148936170213
d190b907_d6845ecc,0,131.32,0.88,0.9,1,0.8808839321136475,0.8371047973632812,0.7733840942382812,0.387527063942563,0.2611074823848282,0.20466153487522903,0.0,0.0013908205841446453
